citation_name,publisher,publication_date,publication_type,publisher_hq,citation_comment
" 241 ^ ""Short Form of the China Tribunal's Judgement"" (PDF). China Tribunal. Archived (PDF) from the original on 5 July 2020. Retrieved 4 August 2020. “These individual conclusions, when combined, led to the unavoidable final conclusion that; [...] The concerted persecution and medical testing of Uyghurs is more recent and it may be that evidence of forced organ harvesting of this group may emerge in due course. [...] In regard to the Uyghurs the Tribunal has evidence of medical testing on a scale that could allow them, amongst other uses, to become an 'organ bank'.”",China Tribunal,2020,NGO,UK,Alleged ties to Falun Gong
" 404 ^ ""Turkey continues arresting Uyghurs during Chinese foreign minister's official visit to Ankara"". Stockholm Center for Freedom. 25 March 2021.",Stockholm Centre for Freedom,2021,Media,Sweden,Alleged ties to Gülen Movement
" 8 ^ Adrian Zenz (July 2019). ""Break Their Roots: Evidence for China's Parent-Child Separation Campaign in Xinjiang"". The Journal of Political Risk. 7 (7).",The Journal of Political Risk,2019,Journal,USA,"Authored by Adrian Zenz, Newlines Institute, Washington"
"74 ^ Zenz, Adrian. ""Brainwashing, Police Guards and Coercive Internment: Evidence from Chinese Government Documents about the Nature and Extent of Xinjiang's ""Vocational Training Internment Camps"""". Journal of Political Risk. 7 (7). Archived from the original on 3 August 2019. Retrieved 1 July 2019.",The Journal of Political Risk,2019,Journal,USA,"Authored by Adrian Zenz, Newlines Institute, Washington"
"76 ^ Zenz, Adrian (1 July 2020). ""China's Own Documents Show Potentially Genocidal Sterilization Plans in Xinjiang"". Foreign Policy.",Foreign Policy,2020,Media,USA,"Authored by Adrian Zenz, Newlines Institute, Washington"
" 226 ^ Zenz, Adren. ""Sterilizations and Mandatory Birth Control in Xinjiang"". aspi.org.au. Australian Strategic Policy Institute. Retrieved 15 April 2021.",Australian Strategic Policy Institute,2021,Thinktank,Australia,"Authored by Adrian Zenz, Newlines Institute, Washington"
" 288 ^ Fiskejö, Magnus (8 April 2019). ""China's Thousandfold Guantánamos"". Inside Higher Ed.",Inside Higher Ed.,2019,Media,USA,"Authored by Magnus Fiskejö, Reppy Institute, Cornell"
" 289 ^ Fiskejö, Magnus (2020). ""Forced Confessions as Identity Conversion in China's Concentration Camps"". Monde Chinois. 62 (2): 28–43 – via Cairn.info.",Monde Chinois,2020,Media,France,"Authored by Magnus Fiskejö, Reppy Institute, Cornell"
"        286        ^ ""Secret documents reveal how China mass detention camps work"". Associated Press. 25 November 2019. Archived from the original on 20 January 2020.",Associated Press,2020,Media,USA,"Authored by Magnus Fiskejö, Reppy Institute, Cornell"
"1 ^ Turdush, Rukiye; Fiskesjö, Magnus (28 May 2021). ""Dossier: Uyghur Women in China's Genocide"". Genocide Studies and Prevention: An International Journal. 15 (1): 22–43. doi:10.5038/1911-9933.15.1.1834.",Genocide Studies and Prevention: An International Journal,2021,Journal,International,"Authored by Magnus Fiskejö, Reppy Institute, Cornell"
